model,feature,bin,n,value_min,value_max,direct_exact,gold_location_exact,gold_minus_direct_exact,direct_location_f1,gold_location_location_f1,gold_minus_direct_location_f1,direct_correct_gold_wrong_rate
deepseek-coder:6.7b,gold_new_line_count,q4_gt_11,3132,12,42,0.00031928480204342275,0.00031928480204342275,0.0,0.4717189261858653,0.5250652424905842,0.053346316304718866,0.00031928480204342275
deepseek-coder:6.7b,gold_new_line_count,q3_8_to_11,3221,9,11,0.0018627755355479665,0.001552312946289972,-0.00031046258925799446,0.43674095893019,0.48462518099260343,0.04788422206241344,0.0018627755355479665
deepseek-coder:6.7b,gold_new_line_count,q1_le_8,8502,2,8,0.011644318983768526,0.010115266996000941,-0.0015290519877675848,0.3721548769215258,0.4124678146591247,0.040312937737598864,0.009409550693954364
deepseek-coder:6.7b,number_changed_spans,q4_gt_1,3613,2.0,10.0,0.0005535566011624688,0.0016606698034874066,0.001107113202324938,0.4764398248636456,0.5361677029132554,0.05972787804960983,0.0005535566011624688
deepseek-coder:6.7b,number_changed_spans,q1_le_1,11242,1.0,1.0,0.009251022949653086,0.007649884362213129,-0.0016011385874399571,0.38488258155868466,0.42475622638889626,0.03987364483021161,0.007560932218466465
deepseek-coder:6.7b,number_changed_lines,q4_gt_3,2831,4.0,20.0,0.00282585658777817,0.008124337689862239,0.005298481102084069,0.6220621067025138,0.6620771174888355,0.040015010786321636,0.0010596962204168139
deepseek-coder:6.7b,number_changed_lines,q3_1_to_3,3947,2.0,3.0,0.003040283759817583,0.004307068659741576,0.0012667848999239934,0.43597533363710794,0.4922945880092022,0.056319254372094285,0.0020268558398783888
deepseek-coder:6.7b,number_changed_lines,q1_le_1,8077,1.0,1.0,0.010647517642689118,0.006438033923486443,-0.004209483719202675,0.3177385914540799,0.35840737268866524,0.04066878123458534,0.009409434195864801
deepseek-coder:6.7b,direct_output_line_count,q4_gt_11,3304,12,43,0.0003026634382566586,0.00211864406779661,0.0018159806295399514,0.4863417033778845,0.54195208353754,0.05561038015965547,0.0003026634382566586
deepseek-coder:6.7b,direct_output_line_count,q2_7_to_8,2883,8,8,0.018730489073881373,0.006243496357960458,-0.012486992715920915,0.40287602810623946,0.4329926400968008,0.030116611990561315,0.018036767256330213
deepseek-coder:6.7b,direct_output_line_count,q3_8_to_11,3812,9,11,0.0015739769150052466,0.004197271773347324,0.002623294858342078,0.4219012659360973,0.4611098576699491,0.03920859173385183,0.0015739769150052466
deepseek-coder:6.7b,direct_output_line_count,q1_le_7,4856,1,7,0.009266886326194398,0.010502471169686986,0.001235584843492588,0.344228761609527,0.3944821179663527,0.05025335635682571,0.005766062602965404
deepseek-coder:6.7b,direct_output_word_count,q4_gt_49,3699,50,214,0.0016220600162206002,0.0013517166801838335,-0.0002703433360367667,0.43405098816956994,0.485648368303272,0.051597380133702075,0.0016220600162206002
deepseek-coder:6.7b,direct_output_word_count,q1_le_24,4030,1,24,0.014640198511166254,0.012655086848635236,-0.0019851116625310174,0.3843590093506496,0.4278558192275931,0.04349680987694349,0.010421836228287842
deepseek-coder:6.7b,direct_output_word_count,q2_24_to_34,3423,25,34,0.0081799591002045,0.006134969325153374,-0.0020449897750511254,0.402564976832997,0.4418595857934115,0.03929460896041448,0.007595676307332749
deepseek-coder:6.7b,direct_output_word_count,q3_34_to_49,3703,35,49,0.0035106670267350797,0.004050769646232784,0.0005401026194977046,0.40932372144028595,0.45345011603502905,0.0441263945947431,0.0035106670267350797
deepseek-coder:6.7b,direct_output_char_count,q4_gt_483,3708,484,1800,0.0016181229773462784,0.0024271844660194173,0.0008090614886731389,0.4598867697626113,0.5131648821042688,0.053278112341657524,0.0016181229773462784
deepseek-coder:6.7b,direct_output_char_count,q1_le_257,3719,12,257,0.010486689970422156,0.01156224791610648,0.0010755579456843238,0.35828369697377244,0.40249014419406337,0.044206447220290934,0.006453347674105943
deepseek-coder:6.7b,direct_output_char_count,q2_257_to_352,3746,258,352,0.009877202349172451,0.006673785371062467,-0.0032034169781099842,0.3940550899279441,0.4375886268802294,0.043533536952285345,0.009343299519487454
